IDX,발화자,발화문,카테고리,QA번호,QA여부,감성,인텐트,가격,수량,크기,장소,조직,사람,시간,날짜,상품명,상담번호,상담내순번
161,c,강아지는 후코이단 이 공 성분이 들어간 간식을 먹으니,병원,285,q,m,제품_일반_확인,,,,,,,,,간식,3398,710
162,s,그래서 개팔자가 상팔자란 말이 있나봐요,병원,285,a,m,제품_일반_확인,,,,,,,,,,3398,711
163,s,요즘 강아지들이 저희보다 더 비싼 간식을 먹긴해요,병원,285,a,m,제품_일반_확인,,,,,,,,,간식,3398,712
164,s,그나마 저희가 전국에서 가장 저렴하게 파는거에요,병원,303,q,m,제품_일반_확인,,,,,,,,,,3398,748
165,c,제가 여기 점장님을 잘알아서,병원,303,a,m,제품_일반_확인,,,,,,,,,,3398,749
166,c,저렴하게 파시는건 이미 알고있죠,병원,303,a,m,제품_일반_확인,,,,,,,,,,3398,750
167,c,근데 너무 많이 샀나보네요 헐 금액이 거의 이십만 원이네요,병원,304,q,m,제품_일반_확인,,,,,,,,,,3398,751
168,s,네 많이 나오긴 했네요,병원,304,a,m,제품_일반_확인,,,,,,,,,,3398,752
169,c,아싸~거의 다써가는데 잘됬네요,병원,321,q,m,제품_일반_확인,,,,,,,,,,3398,787
170,s,그래요?,병원,322,q,m,제품_일반_확인,,,,,,,,,,3398,788
171,c,네,병원,322,a,m,제품_일반_확인,,,,,,,,,,3398,789
172,c,아 그 의사 티비에서 봤어요,병원,53,q,m,제품_일반_확인,,,,,,,,,,5395,111
173,s,광고하시는 건데 이거는 가격이 비싸요 오만 구천 원이에요 와 그런데 이게 이제 개월당으로 환산을 하면 만 삼천 원대라서 그러니까 두 달이면 이만 육천 원이라고 생각하면 됩니다,병원,53,a,m,제품_일반_확인,오만 구천 원|만 삼천 원|이만 육천 원,,,,,,,,,5395,112
174,c,그걸 많이 사야 하는구나,병원,56,q,m,제품_일반_확인,,,,,,,,,,5395,117
175,s,그렇죠 그만큼 우리 할인이 많이 잡으니까,병원,56,a,m,제품_일반_확인,,,,,,,,,,5395,118
176,c,홈쇼핑 그런 분위기네,병원,57,q,m,제품_일반_확인,,,,,,,,,,5395,119
177,s,드시는 분들은 계속 이걸 드시니까 이렇게 대량으로 살 때 할인된다고 해서 좋아서 하시는데 안드셔보셨으니까 그냥 단계로 몇 번 사보실 거면 아까 보여드려요 하시면 좋을 것 같고요,병원,57,a,m,제품_일반_확인,,,,,,,,,,5395,120
178,c,그러니까,병원,61,q,m,제품_일반_확인,,,,,,,,,,5395,125
179,s,이걸로 하시는 게 좋죠 그리고,병원,61,a,m,제품_일반_확인,,,,,,,,,,5395,126
180,c,그래요 이런 거 보통 이런 걸 사가야 되겠네,병원,76,q,m,제품_일반_확인,,,,,,,,,,5395,151
181,s,상시 복용하시면,병원,76,a,m,제품_일반_확인,,,,,,,,,,5395,152
182,c,꾸준히 그냥,병원,77,q,m,제품_일반_확인,,,,,,,,,,5395,153
183,s,이게 지금 영국 건데,병원,77,a,m,제품_일반_확인,,,,영국,,,,,,5395,154
184,s,이게 지금 구십 알 들어 있어요 그래서 이것도 이십 프로할인이 있는데,병원,77,a,m,제품_일반_확인,,,,,,,,,,5395,155
185,s,이거 드시면 이건 하루에 하나씩 드시면 고질적인 게 좀 도움이 된다고 하더라고요,병원,77,a,m,제품_일반_확인,,,,,,,,,,5395,156
186,c,아니겠죠,병원,78,q,m,제품_일반_확인,,,,,,,,,,5395,157
187,s,아니 그 성분이 다 이게 자연 친화적인 원료들로 만들어서 이걸 많이 좋아하시더라고요,병원,78,a,m,제품_일반_확인,,,,,,,,,,5395,158
188,s,아니 여기는 저희 여기서 나온 가방이 있어서 여기다가 담아드릴게요,병원,87,q,m,제품_일반_확인,,,,,,,,,가방,5395,172
189,c,네 알겠습니다,병원,87,a,m,제품_일반_확인,,,,,,,,,,5395,173
190,s,네 번은 너무 많은데요?,병원,16,q,m,제품_일반_확인,,,,,,,,,,3783,31
191,c,원래 이나이때는 두 번 열 두 시간 간격으로 먹여요,병원,16,a,m,제품_일반_확인,,,,,,,,,,3783,32
192,c,이건 뺄께요 집에 있는거 같거든요?,병원,84,q,m,제품_일반_확인,,,,,,,,,,3783,162
193,s,네 그렇게 하세요,병원,84,a,m,제품_일반_확인,,,,,,,,,,3783,163
194,s,그런 부분은 또 마음이 좋지 않으시겠어요?,병원,62,q,m,제품_일반_확인,,,,,,,,,,1191,121
195,c,네 어쩔 수 없이 떨어뜨려야 하는거라 더 안타까워요,병원,62,a,m,제품_일반_확인,,,,,,,,,,1191,122
196,c,네 맛있는 것도 먹어야 먹는 행복이 있지요?,병원,97,q,m,제품_일반_확인,,,,,,,,,,1191,185
197,s,그거야 당연하지만 어렸을 때부터 지나치게 주시면 안 된 다는 거지요,병원,97,a,m,제품_일반_확인,,,,,,,,,,1191,186
198,s,하네스가 더 마음에 드시나 봐요?,병원,128,q,m,제품_일반_확인,,,,,,,,,하네스,1191,245
199,c,네 목줄은 목에 끈을 멘 거라 왠지 싫어요,병원,128,a,m,제품_일반_확인,,,,,,,,,목줄|끈,1191,246
200,s,그럼 하네스로 하시겠어요?,병원,129,q,m,제품_일반_확인,,,,,,,,,하네스,1191,247
201,c,네 하네스로 할게요,병원,129,a,m,제품_일반_확인,,,,,,,,,하네스,1191,248
202,s,그럼 이 목줄은 빼 놓을게요?,병원,130,q,m,제품_일반_확인,,,,,,,,,목줄,1191,249
203,c,네,병원,130,a,m,제품_일반_확인,,,,,,,,,,1191,250
204,c,지금 집어 주신 것들에서 바꿔 사용하면 되겠네요?,병원,167,q,m,제품_일반_확인,,,,,,,,,,1191,313
205,s,"이거 아니더라도 샴푸는 자극이 약하고, 화학성분이 없는 걸로  쓰시면 돼요",병원,167,a,m,제품_일반_확인,,,,,,,,,샴푸,1191,314
206,s,강아지들은 전신에 샴푸 하는거나 마찬가지 잖아요?,병원,169,q,m,제품_일반_확인,,,,,,,,,강아지|샴푸,1191,317
207,c,그렇지요 신경 써야겠어요,병원,169,a,m,제품_일반_확인,,,,,,,,,,1191,318
208,s,일 층으로 내려 가셔서 사료랑 케이지 실외용집 픽업 하시는거 도와 드릴게요?,병원,175,q,m,제품_일반_확인,,,,,,,,,사료|케이지|실외용집,1191,327
209,c,네 감사합니다,병원,175,a,m,제품_일반_확인,,,,,,,,,,1191,328
210,c,먹긴 편하네요?,병원,19,q,m,제품_일반_확인,,,,,,,,,,4748,36
211,s,네 한 통에 오십 개 들어 있어요,병원,19,a,m,제품_일반_확인,,오십 개|한 통,,,,,,,,4748,37
212,c,햇볕을 잘 못쐐니까 먹어주는게 좋겠죠?,병원,31,q,m,제품_일반_확인,,,,,,,,,,4748,60
213,s,네 칼슘흡수를 도와 주는 성분이 비타민디라 같이 드시면 흡수가 잘돼요,병원,31,a,m,제품_일반_확인,,,,,,,,,,4748,61
214,s,잘 참네요 메이,병원,23,q,m,제품_일반_확인,,,,,,,,,,3944,45
215,s,약 나왔네요?,병원,8,q,m,제품_일반_확인,,,,,,,,,약,4780,13
216,c,네,병원,8,a,m,제품_일반_확인,,,,,,,,,,4780,14
217,c,먹긴 편하네요?,병원,20,q,m,제품_일반_확인,,,,,,,,,,642,35
218,s,네 그리고 한통에 백 오십 개 들어 있어요,병원,20,a,m,제품_일반_확인,,한통|백 오십 개,,,,,,,,642,36
219,c,가끔 소아과에서 주는 그런 비타민 같은것 말씀하시는 거죠?,병원,65,q,m,제품_일반_확인,,,,,,,,,비타민,1830,129
220,s,네 그거랑 똑같은거 맞습니다,병원,65,a,m,제품_일반_확인,,,,,,,,,,1830,130
221,s,아 강아지용품 보러 오셨군요?,병원,3,q,m,제품_일반_확인,,,,,,,,,강아지용품,943,3
222,c,배변패드 간식을 사려고 하는데요,병원,3,a,m,제품_일반_확인,,,,,,,,,배변패드|간식,943,4
223,s,배편패드와 간식이요,병원,4,q,m,제품_일반_확인,,,,,,,,,배편패드|간식,943,5
224,s,처음 보신거 말씀하신건가요?,병원,86,q,m,제품_일반_확인,,,,,,,,,,943,167
225,s,아 재사용패드매트 말씀하시는건가요?,병원,93,q,m,제품_일반_확인,,,,,,,,,재사용패드매트,943,176
226,c,네 그것도 같이 주세요,병원,93,a,m,제품_일반_확인,,,,,,,,,,943,177
227,s,미디움은 어떤색으로 드릴까요?,병원,244,q,m,제품_일반_확인,,,미디움,,,,,,,943,462
228,c,오렌지색으로 주세요,병원,244,a,m,제품_일반_확인,,,,,,,,,,943,463
229,s,그럼 라지 는 화이트로 드리면되겠네요,병원,245,q,m,제품_일반_확인,,,라지,,,,,,,943,464
230,c,네 그렇습니다,병원,245,a,m,제품_일반_확인,,,,,,,,,,943,465
231,s,방석이요?,병원,258,q,m,제품_일반_확인,,,,,,,,,방석,943,486
232,s,이 시바견 모양 방석말씀하시는건가요?,병원,298,q,m,제품_일반_확인,,,,,,,,,시바견 모양,943,564
233,c,네 이제품이 방석하고 겉을 따로 세탁할수 있다고 하셨지요,병원,298,a,m,제품_일반_확인,,,,,,,,,방석,943,565
234,c,차전자피요 ?,병원,11,q,m,제품_일반_확인,,,,,,,,,차전자피,866,20
235,s,예,병원,11,a,m,제품_일반_확인,,,,,,,,,,866,21
236,s,요즘에 많이들 사가세요,병원,27,q,m,제품_일반_확인,,,,,,,,,,4428,53
237,s,그래요~~ 장이 활발이 움직이면 아무래도 훨씬 식욕이 좋아지거든요,병원,9,q,m,제품_일반_확인,,,,,,,,,,4721,12
238,c,그럴수도 있겠네요,병원,9,a,m,제품_일반_확인,,,,,,,,,,4721,13
239,s,네 이거 요즘 #이름#이 광고해서 어머님들이 많이 알아보시더라구요,병원,14,q,m,제품_일반_확인,,,,,,#이름#,,,,4721,22
240,c,네 맞아요,병원,14,a,m,제품_일반_확인,,,,,,,,,,4721,23
